iter	PRAUC	Logloss
0	0.6857456488	0.6844960744
1	0.6865451997	0.6760169044
2	0.6897766017	0.6684816534
3	0.6923070892	0.6616594745
4	0.6921313597	0.6561451496
5	0.6918804387	0.6510261353
6	0.6934014916	0.6465894629
7	0.695480725	0.6425864579
8	0.6954712169	0.638811814
9	0.6956711656	0.6352644252
10	0.6956228309	0.6320237924
11	0.6955451939	0.6290827515
12	0.695875955	0.6264221371
13	0.6960612458	0.6240377368
14	0.6962847947	0.6222489106
15	0.6963892379	0.6206417545
16	0.6964912099	0.6187854045
17	0.6968542453	0.6174432913
18	0.6968641859	0.6159680848
19	0.6968745088	0.6148888984
20	0.6967051524	0.6137847441
21	0.6967503501	0.612671158
22	0.6968995551	0.611735305
23	0.6968909992	0.6110455577
24	0.6968307316	0.6103162996
25	0.6972218758	0.6096768852
26	0.6973142964	0.6090921599
27	0.6974790438	0.6084615992
28	0.6974768373	0.6079941115
29	0.6976186111	0.6074840876
30	0.6976525161	0.60715856
31	0.6976264739	0.6067936235
32	0.69776985	0.6064470818
33	0.6978178207	0.6061506629
34	0.6979853445	0.6058383194
35	0.6982908729	0.6054063839
36	0.6982567126	0.6051958075
37	0.69839563	0.6049432891
38	0.6985683981	0.6046796936
39	0.6987148263	0.6044748425
40	0.6987809177	0.6042785278
41	0.6988928994	0.6040917163
42	0.698959245	0.6039549275
43	0.6991152753	0.6037117071
44	0.6993794674	0.6035233535
45	0.6994403439	0.6033493912
46	0.6995247361	0.6032276358
47	0.6995915062	0.6030848382
48	0.6996828097	0.6029778336
49	0.6997430389	0.6028494535
50	0.6997733713	0.602751606
51	0.6998393882	0.6026200377
52	0.6999585394	0.6025341177
53	0.7000120677	0.6024204366
54	0.7000608545	0.6023198661
55	0.7001053234	0.6022545626
56	0.7001460731	0.6021725352
57	0.7002081364	0.6021095648
58	0.7002195006	0.602056832
59	0.7003521148	0.6019907594
60	0.700504731	0.6019354849
61	0.700621734	0.601884166
62	0.7007039409	0.6018174819
63	0.7007424044	0.60175284
64	0.7008531494	0.6016972957
65	0.7009080935	0.6016338112
66	0.7009483564	0.6015827108
67	0.7010182246	0.6015036336
68	0.7010887063	0.601455015
69	0.7011779612	0.601420874
70	0.7012317449	0.6013790278
71	0.7012945127	0.6013478241
72	0.7013412556	0.6013031037
73	0.7013926754	0.6012755284
74	0.7014617966	0.6012147954
75	0.701514264	0.6011918771
76	0.7015846156	0.601170677
77	0.7017007485	0.6011299664
78	0.7017411014	0.6010941088
79	0.7017782253	0.6010559567
80	0.7018856646	0.6010328779
81	0.7019622446	0.6010082328
82	0.7020137331	0.6009715041
83	0.702052832	0.6009461504
84	0.7020903954	0.6009114469
85	0.7021819949	0.6008725886
86	0.7022347	0.6008503453
87	0.7022813823	0.6008230881
88	0.7023626167	0.6007984574
89	0.7024730268	0.6007739686
90	0.7025471519	0.600739749
91	0.7026524128	0.6007088422
92	0.7027120461	0.6006628966
93	0.7027858503	0.6006313548
94	0.7028150405	0.6005942254
95	0.7028781468	0.6005770167
96	0.7029425903	0.6005405772
97	0.7029993363	0.6005178439
98	0.7030510289	0.600484759
99	0.7030987383	0.6004704742
100	0.703171391	0.6004504212
101	0.7031981696	0.600427305
102	0.7032703857	0.6004006467
103	0.7033659453	0.6003739473
104	0.7034090616	0.6003559731
105	0.7035080172	0.6003316635
106	0.7035732645	0.600305673
107	0.703655269	0.6002831138
108	0.7036896494	0.6002643552
109	0.7037888954	0.6002355925
110	0.7038366086	0.600222858
111	0.703883833	0.6002150378
112	0.703921204	0.6001996348
113	0.7039756326	0.6001781514
114	0.7039920843	0.6001513436
115	0.7040898252	0.6001325664
116	0.7041800134	0.600112008
117	0.7042632556	0.6000838317
118	0.7043099304	0.6000576003
119	0.7043379815	0.6000288979
120	0.7044032395	0.6000064805
121	0.7044371457	0.5999954937
122	0.7045491543	0.5999704869
123	0.7045576183	0.5999505431
124	0.7045939049	0.5999230429
125	0.7046598344	0.5999014927
126	0.7047201965	0.5998836514
127	0.7047982295	0.599852093
128	0.7048050494	0.5998386148
129	0.7048435638	0.5998296127
130	0.7048665878	0.5998137352
131	0.7049559834	0.599791349
132	0.7050245021	0.5997785998
133	0.7050868557	0.5997555995
134	0.7051403937	0.599737974
135	0.7051687817	0.5997205651
136	0.7052232238	0.5997040409
137	0.7052651764	0.5996849212
138	0.705331357	0.5996642061
139	0.7053832294	0.5996523864
140	0.7054126424	0.5996358856
141	0.7055013183	0.5996010925
142	0.7055393381	0.5995857532
143	0.7056106226	0.5995705722
