iter	Passed	Remaining
0	243	243672
1	350	174689
2	454	151045
3	556	138646
4	663	132112
5	765	126871
6	877	124457
7	991	122961
8	1106	121807
9	1232	122008
10	1361	122405
11	1489	122671
12	1609	122180
13	1727	121636
14	1853	121693
15	1981	121877
16	2101	121500
17	2220	121155
18	2339	120787
19	2450	120079
20	2563	119509
21	2694	119804
22	2841	120708
23	2985	121410
24	3126	121939
25	3274	122659
26	3421	123286
27	3566	123795
28	3716	124455
29	3860	124828
30	4003	125157
31	4145	125415
32	4285	125582
33	4421	125613
34	4569	125983
35	4729	126647
36	4877	126942
37	5027	127269
38	5172	127462
39	5328	127875
40	5488	128385
41	5643	128725
42	5788	128821
43	5943	129132
44	6094	129341
45	6249	129607
46	6417	130116
47	6566	130230
48	6710	130234
49	6868	130500
50	7021	130661
51	7169	130703
52	7326	130904
53	7479	131034
54	7634	131173
55	7791	131337
56	7924	131103
57	8073	131128
58	8226	131207
59	8371	131160
60	8527	131261
61	8695	131556
62	8848	131597
63	8989	131466
64	9140	131475
65	9287	131436
66	9438	131439
67	9590	131443
68	9733	131325
69	9878	131239
70	10044	131429
71	10192	131370
72	10354	131487
73	10508	131498
74	10659	131469
75	10805	131368
76	10957	131352
77	11102	131234
78	11247	131129
79	11397	131075
80	11553	131079
81	11700	130986
82	11851	130941
83	11996	130814
84	12150	130798
85	12309	130826
86	12462	130784
87	12604	130629
88	12756	130579
89	12904	130474
90	13058	130437
91	13209	130375
92	13358	130279
93	13489	130013
94	13634	129883
95	13788	129843
96	13917	129562
97	14040	129226
98	14173	128996
99	14295	128660
100	14440	128532
101	14590	128452
102	14740	128374
103	14890	128288
104	15034	128154
105	15201	128208
106	15369	128269
107	15511	128117
108	15664	128048
109	15827	128057
110	15970	127911
111	16113	127759
112	16281	127803
113	16471	128011
114	16630	127984
115	16789	127948
116	16936	127822
117	17090	127745
118	17252	127728
119	17406	127645
120	17558	127552
121	17701	127395
122	17854	127306
123	18003	127188
124	18153	127075
125	18300	126943
126	18458	126881
127	18609	126780
128	18765	126704
129	18919	126613
130	19061	126446
131	19217	126369
132	19375	126301
133	19514	126113
134	19651	125917
135	19782	125680
136	19908	125409
137	20051	125246
138	20201	125132
139	20340	124946
140	20480	124772
141	20606	124506
142	20731	124243
143	20849	123939
