iter	PRAUC	Logloss
0	0.6659220324	0.6844088315
1	0.6840555494	0.6760300643
2	0.6850337248	0.6685728053
3	0.6863801993	0.6618321286
4	0.6912903151	0.656396657
5	0.6925623737	0.650910415
6	0.692969132	0.6462833817
7	0.6940886028	0.6417495601
8	0.6939644753	0.6381975826
9	0.6946939207	0.6350917007
10	0.6948916683	0.6318297463
11	0.6951744131	0.6290761507
12	0.6954381951	0.6266860474
13	0.6955766982	0.6247209741
14	0.6958104747	0.6226522335
15	0.6964524869	0.6208752082
16	0.6965032898	0.6190818193
17	0.6965740843	0.617474684
18	0.6968617558	0.6161493601
19	0.6970520302	0.6149066721
20	0.6971515018	0.6138640408
21	0.6969049353	0.6127872932
22	0.6970385744	0.6118748408
23	0.6972705329	0.6110586503
24	0.6973625609	0.6101885426
25	0.6976237371	0.6094490607
26	0.6975240382	0.6088767392
27	0.6976756643	0.60824916
28	0.6980901608	0.6076496994
29	0.6980453446	0.6071777293
30	0.6980811175	0.6068106603
31	0.6981512811	0.6063703184
32	0.6982899236	0.6060271421
33	0.6984922106	0.6056048821
34	0.6986427136	0.605277467
35	0.6988503758	0.6050081283
36	0.6990412925	0.604793312
37	0.6991365366	0.604596496
38	0.6992273149	0.6044032412
39	0.6992834724	0.6042048638
40	0.6993451913	0.6040016538
41	0.6994179904	0.6038268964
42	0.6994812375	0.6036440775
43	0.6995109624	0.6035524629
44	0.6995591329	0.603399303
45	0.6996397773	0.6032242299
46	0.6997811755	0.603094841
47	0.699891241	0.60299311
48	0.6999139974	0.6029014478
49	0.7000339484	0.60277151
50	0.7001165749	0.6026156011
51	0.7001335997	0.6025175197
52	0.7002306882	0.6024373345
53	0.7003089101	0.6023254456
54	0.7003477942	0.6022407937
55	0.700417406	0.6021509244
56	0.700485598	0.6020648024
57	0.7005026408	0.6019514958
58	0.7005531121	0.6018873697
59	0.7006413342	0.6018351749
60	0.7006780875	0.6017799813
61	0.7007644309	0.601724076
62	0.70079355	0.6016640497
63	0.7008440893	0.6015972194
64	0.7009444431	0.6015488979
65	0.701007577	0.6014915765
66	0.7010350412	0.6014207627
67	0.7010849273	0.6013719209
68	0.7011007129	0.6013345626
69	0.7011264737	0.6012785539
70	0.7011732549	0.6012489751
71	0.7012212759	0.6012071277
72	0.7013364192	0.6011673295
73	0.7014033137	0.6011268584
74	0.7014594355	0.6011013219
75	0.7015022652	0.601049513
76	0.7015435129	0.6010107758
77	0.701602326	0.6009697497
78	0.7016420329	0.6009288509
79	0.7016532156	0.6009012323
80	0.7016654157	0.6008605354
81	0.70165278	0.6008547617
82	0.7016797422	0.6008157758
83	0.701758641	0.6007736161
84	0.7017912511	0.6007530636
85	0.7018887363	0.6007204972
86	0.7019563733	0.600691903
87	0.7020270071	0.6006654515
88	0.7020428487	0.6006583056
89	0.7020748189	0.6006214457
90	0.702165035	0.6005796034
91	0.7022554011	0.600557209
92	0.7022859536	0.6005388479
93	0.702338902	0.6005133498
94	0.7023651106	0.6004776658
95	0.7024409489	0.600453181
96	0.7025399835	0.6004302859
97	0.7026056589	0.6003971721
98	0.7026701619	0.6003787415
99	0.7027370797	0.6003556825
100	0.7028048391	0.6003331955
101	0.7028470015	0.6003079204
102	0.7029585414	0.6002809479
103	0.7030597847	0.6002591403
104	0.7031253845	0.6002459859
105	0.7031822479	0.6002120447
106	0.7032134648	0.600191118
107	0.7032645683	0.6001661354
108	0.7033397549	0.6001413968
109	0.7034006993	0.6001249142
110	0.7034701644	0.600103682
111	0.7035135051	0.600085745
112	0.7035815712	0.6000609753
113	0.703616583	0.6000539829
114	0.7036661769	0.600022128
115	0.7037227855	0.5999958903
116	0.7037912544	0.5999731871
117	0.7038969813	0.5999460453
118	0.7039639898	0.599913549
119	0.704076503	0.5998921794
120	0.7041022334	0.5998684843
121	0.7041644452	0.5998438588
122	0.7042144476	0.5998209317
123	0.7042847389	0.5997987898
124	0.7043405901	0.5997796584
125	0.7043720791	0.5997652554
126	0.7044560786	0.5997406863
127	0.7045139175	0.5997124737
128	0.7045471103	0.5997032246
129	0.704599895	0.5996641536
130	0.7046839492	0.5996428511
131	0.7047316288	0.5996184767
132	0.7048158109	0.5995918081
133	0.70488003	0.5995794168
134	0.7049256367	0.5995379596
135	0.7049523315	0.5995243084
136	0.7049872524	0.5995073562
137	0.7050441506	0.5994856871
138	0.7051133922	0.5994759352
139	0.705156131	0.599461993
140	0.7052320969	0.5994417216
141	0.7052828568	0.5994273514
142	0.7053237358	0.5994079452
143	0.7053621987	0.5993925107
144	0.705419244	0.5993672809
145	0.7054537749	0.5993440229
146	0.7054780213	0.599326626
147	0.7055107723	0.5993077094
148	0.7055600203	0.5992963332
149	0.705591153	0.5992752092
150	0.7056455879	0.5992554688
151	0.7056738914	0.5992461411
152	0.7056880398	0.5992339971
153	0.7057462964	0.5992077437
154	0.7058068653	0.5991781301
155	0.7058659811	0.5991642717
156	0.7059288515	0.599134636
157	0.7059618026	0.5991071682
158	0.7060234279	0.5990775527
159	0.7060471787	0.5990635086
160	0.70610412	0.5990342673
161	0.7061459792	0.5990077054
162	0.7062071641	0.5989900805
163	0.706237994	0.5989773364
164	0.7062832293	0.598965489
165	0.7063307987	0.5989453114
166	0.7063677404	0.5989317014
167	0.7064178395	0.5989127585
168	0.706495437	0.5988919716
169	0.7065706165	0.5988669442
170	0.7066127052	0.5988440482
171	0.7066772408	0.5988195905
172	0.7067361677	0.5987953099
173	0.7067856586	0.5987698161
